title,score,critic,summary,score_critic,year
Grand Theft Auto: Chinatown Wars,90,Gaming Age,"Grand Theft Auto: Chinatown Wars for the PSP is certainly another quality entry in the series, and it was nice to see Rockstar attempt a throwback-style of game. With a more arcade-like feel, many hours of addictive gameplay, and a structure well suited to portable gaming, it's absolutely worthy of checking out.",91,20-Oct-09
Grand Theft Auto: San Andreas,93,ActionTrip,It is the perfect crime game.,94,07-Jun-05
Grand Theft Auto: San Andreas,93,Stuff,"How do you improve on perfection? We’ll tell you how: Take the same genius game that you played last fall on the PS2 and give everything a fresh coat of pixel paint... Then, remove the long load times, allow us to save 30-second replays to the hard drive for those you-won’t-believe-this-booshiz moments and create personalized radio stations by ripping your CD collection to the hard drive.",100,07-Jun-05
Grand Theft Auto: Vice City,95,IGN,"It's enormous, packed with an immense amount of gameplay, and it's a truly unique gameplay experience...This year's most impressive title, by a log shot.",97,27-Oct-02
Grand Theft Auto: San Andreas,93,null,"This is arguably the biggest game ever made, and if you were to complete it 100%, it would take you several hundred hours, I'd estimate 400 to 500 at least.",100,07-Jun-05
Grand Theft Auto: San Andreas,93,Game Chronicles,"While I still prefer ""Grand Theft Auto: Vice City"" to this title, I will say that this is in no way a lesser offering.",90,07-Jun-05
Grand Theft Auto: Vice City Stories,75,Gamer 2.0,"The lack of multiplayer that was so proudly distributed on the PSP is long gone on the PS2 version and players who already played the previous version will see no reason to pick up this title as well, as it offers nothing new in terms of actual gameplay.",73,05-Mar-07
Grand Theft Auto: Chinatown Wars,90,WonderwallWeb,"Though an update of the DS version, GTA Chinatown Wars is a great game that grabs you from the first minutes play and won't let go. Another must have title from Rockstar.",95,20-Oct-09
Grand Theft Auto: Vice City,94,AtomicGamer,"The PC version of Vice City is just as much fun as the original, with great frame rates, better graphics, more control options, and all the content that made the PS2 version an instant classic.",94,12-May-03
Grand Theft Auto: San Andreas,95,Next Level Gaming,Without a doubt the greatest game every created on the Playstation 2 videogame system. It is the best hands-down. No other game can come even close to this one...The possibilities of Grand Theft Auto San Andreas are endless.,98,26-Oct-04
Grand Theft Auto: San Andreas,95,IGN,"In short, it's a terrific unending masterpiece of a game -- and one that will never fall victim to an over-exaggeration of its lofty status. It's the defining piece of software for Sony's successful sophomore system, and it's almost impossible to imagine a PlayStation 2 library without it.",99,26-Oct-04
Grand Theft Auto: San Andreas,93,WHAM! Gaming,A great game made even greater through its translation to two more powerful platforms. But Xbox owners might be miffed that the long-anticipated improvements are in reality so minimal.,90,07-Jun-05
Grand Theft Auto: San Andreas,93,Armchair Empire,One of the most incredibly engrossing adventures on any system.,93,07-Jun-05
Grand Theft Auto: Vice City Stories,86,Play.tm,"The familiarity of Vice City Stories also breeds a clawing sense of stagnancy, and the lack of a second analogue stick - while patched - does leave a rent in the application of the gameplay control.",72,31-Oct-06
Grand Theft Auto: San Andreas,93,XboxAddict,I cannot think of a game series that does a better job in the sound department. The voice talent is tremendous.,96,07-Jun-05
Grand Theft Auto: Chinatown Wars,93,Pocket Gamer UK,"A pocket rocket that's sumptuous to look at, riotously funny and deeply rewarding. GTA: Chinatown Wars is one of Rockstar's and the DS' best ever.",100,17-Mar-09
Grand Theft Auto: Chinatown Wars,93,null,"No other GTA has felt so trim and robust while making good the promise of a living, breathing action world. [May 2009, p.86]",90,17-Mar-09
Grand Theft Auto: San Andreas,93,GameSpy,"It looks and sounds better than ever, which more than makes up for the minor control issues. If you've been searching for the best Grand Theft Auto experience around, look no further: San Andreas is the real deal.",100,07-Jun-05
Grand Theft Auto: Vice City,95,PGNx Media,"The best and most ambitious game of the year, and it is also one that everyone should play before Lieberman gets his old throat to Congress.",98,27-Oct-02
Grand Theft Auto: Chinatown Wars,90,Eurogamer,"Between the clever mission design, comedy storyline and imaginative drug-dealing angle, it represents many hours of play, all of which live up to its legacy.",90,20-Oct-09
Grand Theft Auto: Vice City Stories,86,null,Some minor issues inherent in all GTA games don't really spoil another slice of ciminal mayhem.,90,31-Oct-06
Grand Theft Auto: San Andreas,95,null,"It's about being in one long and deeply worthwhile experience that manages to do the impossible and improve on what has gone before, and then has the confidence to expand itself to a size that defies belief. Pack some sandwiches, it's going to be a long trip.",99,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,Kombo,GTA fans that might not have been satisfied with past iterations of the franchise on handhelds may want to give Chinatown Wars a closer look because the experience translates very well here.,90,20-Oct-09
Grand Theft Auto: Chinatown Wars,93,null,"Essence of GTA the pocket version – controversial, rough, no concessions, polished to the smallest details and first of all, funny and playable.  [Apr 2009]",100,17-Mar-09
Grand Theft Auto: San Andreas,95,GameShark,"How can a rehash of the same basic formula prove so successful? As GTA:SA has taught me, one does so by taking the best parts of a given game, improving them, and then adding a ridiculous amount of new features and content.",80,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,Absolute Games,"Chinatown Wars is not an evolution, but a step back. The same city, the same gameplay, the almost forgotten top-down camera angle, cardboard clichés starring as main characters. This is the first GTA game that I didn’t want to explore.",68,20-Oct-09
Grand Theft Auto: Liberty City Stories,88,Gaming Target,"Rockstar just took numerous people to school on PSP development, showing you can take a huge game and put it on a UMD without sacrifice, and even add stuff to the mix.",95,24-Oct-05
Grand Theft Auto: Vice City,95,null,"Vice City doesn't just match the magic of ""GTA III""; it bests it in every way possible. [Dec 2002, p.104]",100,27-Oct-02
Grand Theft Auto: Vice City,94,Gamers' Temple,An even better storyline and a city with a lot more character.,96,12-May-03
Grand Theft Auto: San Andreas,95,Electronic Gaming Monthly,"Holy f***ing s***. (Sorry...I'm swearing a lot more now because of San Andreas.) I can't wrap my head around how much stuff is packed into this one disc. It's grand, it's ambitious, and funny as this may sound, it's legendary. [Dan Hsu]",100,26-Oct-04
Grand Theft Auto: San Andreas,95,null,"Grand Theft Auto: San Andreas is to the gaming world what ""The Matrix"" was to the film industry: it breaks so much ground and introduces so many significant things that it will no doubt have an impact on how games are made for a long time to come.",92,26-Oct-04
Grand Theft Auto: San Andreas,95,3DAvenue,"A stunning achievement for both Rockstar and Sony. It shows just how powerful the PS2 system is when used right. This game has the potential to last months and months on end, especially for the 100% target.",98,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,1UP,"Chinatown Wars is what I expected -- it takes an understandable few steps back from GTA4, but also takes a couple forward (a touch screen can do that). It's a well-honed ""core"" GTA on the handheld, not merely a one-to-one clone of its console parents.",91,17-Mar-09
Grand Theft Auto: San Andreas,95,Gamers' Temple,"A masterful blend of storyline, exciting action, and freeform gameplay that will keep you hooked for hours on end.",94,26-Oct-04
Grand Theft Auto: Vice City Stories,86,PALGN,One of the best games on the PSP. It's a step up from Vice City and little enhancements make the game a thoroughly enjoyable portable title.,85,31-Oct-06
Grand Theft Auto: Vice City,94,CPUGamer,Side-missions are just amazingly fun.,100,12-May-03
Grand Theft Auto: Chinatown Wars,90,SpazioGames,"Expect that, if you missed the original release due to the lack of consoles on which it worked, now you have no more excuses: Huang Lee and Liberty City are waiting for you!",90,20-Oct-09
Grand Theft Auto: Vice City Stories,75,null,"The PS2 version is cheap and cheerful, it's a lot easier to control than the PSP version and for those people who loved Vice City and want an excuse to go back, well, Stories is your reason.",80,05-Mar-07
Grand Theft Auto: San Andreas,95,PALGN,"The seamless way in which the DJs react to the in-game environment, and from an intertextual standpoint, merge better with the player's situation far more effectively than in the previous games is just inspiring.",90,26-Oct-04
Grand Theft Auto: Vice City Stories,86,null,"An entertaining digital playground/action-adventure. Do whatever you want, whenever you want, as long as it is something criminal. [Jan 2007]",90,31-Oct-06
Grand Theft Auto: Vice City,94,null,"Nearly impossible to put down. [Aug 2003, p.37]",100,12-May-03
Grand Theft Auto: Vice City Stories,75,Game Almighty,"We were huge fans of VCS when we were able to carry it around in our pocket, but the PS2 version is definitely lacking some necessary optimization.",78,05-Mar-07
Grand Theft Auto: Liberty City Stories,88,GameShark,Single player gameplay is excellent. The missions are fun and the difficulty level ramps up over time so you’re usually given a pretty good challenge without being frustrated.,91,24-Oct-05
Grand Theft Auto: San Andreas,95,Play.tm,"GTA may be looking its age and some of its more favoured structural ideas are beginning to feel a little dated, but Rockstar continue to revel in the mastery of presenting a consuming environment to the player and inviting them to do within it what they wish.",91,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,Game Informer,"Don’t let the diminutive size or nostalgic look fool you, this is just as complete of a Grand Theft Auto experience as any of the console iterations.",93,17-Mar-09
Grand Theft Auto: Vice City,95,Games Radar,"The gameplay, plot and soundtrack are all outstanding individually, but when blended together create an essential experience...What we're trying to say is this is simply the best videogame GamesMaster has played this century. [GamesMaster]",97,27-Oct-02
Grand Theft Auto: Vice City Stories,75,GameDaily,The graphics show clear signs of being rushed and Rockstar removed the multiplayer modes.,70,05-Mar-07
Grand Theft Auto: Chinatown Wars,90,TheSixthAxis,"More PSP exclusive content would have sealed the deal, but as it stands this is wonderful stuff.",90,20-Oct-09
Grand Theft Auto: Chinatown Wars,93,GamingXP,"Rockstar rocks at developing the GTA series for the NDS. Maybe this game is a good reason to buy an NDS. There’s also a warning for teenagers: You’ll hide your NDS, because with Chinatown Wars, your parents will definitely play more than you’ll like.",89,17-Mar-09
Grand Theft Auto: San Andreas,93,Game Chronicles,"The standout feature of Grand Theft Auto: San Andreas is the expected graphical superiority over its console counterparts. But for the audiophiles, the ability to design and play your own custom radio station is a feature every game needs to have from this point forward, end of story. DEMAND IT!",90,07-Jun-05
Grand Theft Auto: San Andreas,95,Inside Gamer Online,"It is hard to find a game with the perfect blend of unique, action packed missions and interesting and enthralling non-mission events, but Grand Theft Auto: San Andreas pulls it off in convincing fashion.",96,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,null,"Questionable controls aside, Chinatown Wars is a beautiful blend of the modern 3D games with the pick-up-and-play appeal of the '90s original. [Holiday 2009, p.70]",90,20-Oct-09
Grand Theft Auto: Vice City,95,null,"The game will twist and turn, surprise and captivate, and surpass any expectations you might have conjured up...The PS2's defining title. [Dec 2002, p.154]",100,27-Oct-02
Grand Theft Auto: Vice City,95,null,"You simply must find a way to play it. [Jan 2003, p.44]",100,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,Zentendo,"That being said, if you are a fan of the series you will definitely enjoy this game.  This was the most fun I have had with a DS game in quite some time.",90,17-Mar-09
Grand Theft Auto: Liberty City Stories,88,GameZone,"Aside from brilliantly recreating the series’ look, feel and universe, the game’s multiplayer feature will make you feel the true power of the PSP.",92,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,null,"Substantial, hilarious and huge. Sadly, this port feels hamstrung next to the DS version. [Dec 2009, p.88]",87,20-Oct-09
Grand Theft Auto: Chinatown Wars,90,HellBored,"If you haven't done so already, get stuck into this, because it has depth, fun, excitement, and longevity. If you were to pick between formats, maybe the touch screen would swing you in the DS direction, but the improvements made on the whole for the PSP cannot be ignored, and the PSP version stands out for all the right reasons.",92,20-Oct-09
Grand Theft Auto: Vice City Stories,75,PSM3 Magazine UK,"For 20 notes, though, you can't really complain. Played the PSP version to death? Leave this on the shop shelf. But if you're looking for a sunny spot to fritter away the hours until you get a PS3, then GTA is still the only vacation we'd recommend.",83,05-Mar-07
Grand Theft Auto: Chinatown Wars,90,Cheat Code Central,"Overall, CW for the PSP is a slightly better version of the game than the DS original. Although the mini-games do feel a little out of place without touch-screen controls, everything else is just as good if not better than it was on the DS.",94,20-Oct-09
Grand Theft Auto: Liberty City Stories,88,GameSpot,"While the game is definitely a fine technical achievement and one of the best PSP games to date, the dull storyline and basic mission design do bring the whole thing down a bit.",86,24-Oct-05
Grand Theft Auto: San Andreas,93,Xbox World Australia,"It's not perfect, and it certainly is beginning to show its age, but the latest installment of the Grand Theft Auto series is well worth breaking a few laws to acquire!",90,07-Jun-05
Grand Theft Auto: San Andreas,93,null,"Despite the niggles and the fact that the game could be so much more expansive and technically improved on the new platforms, Carl Johnson and his homeboys epic odyssey is something everyone interested in games should check out. [July 2005, p.74]",90,07-Jun-05
Grand Theft Auto: Vice City Stories,86,1UP,"It's a shame Rockstar chose not to fix obvious flaws that have been called out repeatedly, but the weight of the total experience more than counterbalances this disappointment, making PSP owners, however briefly, the envy of those in the portable war.",90,31-Oct-06
Grand Theft Auto: Vice City,94,null,PC gamers will be treated to better graphics and more of those great 80s songs which are available on the MP-3 radio station.,80,12-May-03
Grand Theft Auto: Vice City,94,Game Chronicles,What few flaws I can find with the game design are more nuisances than actual bugs and easily overlooked in the grand scheme of things.,94,12-May-03
Grand Theft Auto: Vice City Stories,86,GameDaily,"While some of the missions frustrate thanks to the clunky GTA controls, the game's sense of style, the 100-plus-song soundtrack and knee-slapping sense of humor make Vice City Stories a nice place to (re)visit.",80,31-Oct-06
Grand Theft Auto: Vice City,95,Gamezilla!,"Manages to meld a great story, serious action, and limitless gameplay to produce one of the best games of all time.",99,27-Oct-02
Grand Theft Auto: Vice City,95,G4 TV,"As a game, the technical problems affect gameplay to such a high degree that GTA: VC simply cannot be awarded a 5 out of 5 rating. Progress through the game can become a chore, something that never occurred in ""GTA3.""",80,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,GameZone,An amazing and entrancing experience that lives up to the Grand Theft Auto name.,93,17-Mar-09
Grand Theft Auto: Liberty City Stories,88,DailyGame,"On par with ""GTA III"" and ""Vice City,"" and it includes multiplayer. Fans of the series should just go get it now.",88,24-Oct-05
Grand Theft Auto: San Andreas,93,AtomicGamer,"It's still quite possibly the best game ever made, and Rockstar's done pretty much all they could to make San Andreas the best it could be on the Xbox.",96,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,G4 TV,"Frustration has always been a factor in the GTA universe, but never quite so much as in Liberty City Stories.",80,24-Oct-05
Grand Theft Auto: San Andreas,95,Gamezilla!,"When you take the scope of the entire game into considerations, San Andreas is a real technical feat.",96,26-Oct-04
Grand Theft Auto: Vice City Stories,75,Armchair Empire,Just pop in one of the old games – or any one of their numerous clones from the past few years – and it’ll probably be more worthwhile.,55,05-Mar-07
Grand Theft Auto: San Andreas,95,Gamenikki,"San Andreas is a true epic, but no game should be this frustrating.",90,26-Oct-04
Grand Theft Auto: San Andreas,95,GamesRadar+,What does make it great is that it actually delivers on nearly everything it promises while still being fun to just pick up and play.,100,26-Oct-04
Grand Theft Auto: San Andreas,93,GameSpy,"The PC version suffers from a few technical glitches and generally looks a little dated compared to other PC titles, but still feels like an improvement over the PS2 version, and is filled with weeks of gameplay and unforgettable moments. It's not to be missed.",100,07-Jun-05
Grand Theft Auto: San Andreas,95,null,"As with previous GTA games there's lots to criticise, but San Andreas survives, scathed but still walking tall, buoyed by the kind of ambition that sees most games crumble under the weight of it all. It's a multi-faceted, multi-achieving experience, a rough-edged but massively substantial landmark. [Christmas 2004, p.78]",90,26-Oct-04
Grand Theft Auto: San Andreas,93,Total Video Games,"The mouse-keyboard combination does take some time to get use to, but if players have a good gamepad then San Andreas PC becomes much easier to overall control.",90,07-Jun-05
Grand Theft Auto: Vice City,95,Cheat Code Central,"The one thing most critics don't seem to get, is that this game isn't loved because of it's violence...What makes this game so popular and loved among gamers is it's freedom.",100,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,GameFocus,"It’s obvious that the developers did not want to release just another GTA version for the handhelds and go for the quick cash but wanted to offer a high quality product for a handheld that desperately needs something else than just Brain simulators, Pokémon games and cross-dressing games. GTA Chinatown Wars is one hell of a game that deserves a place in your DS collection, especially if you’re a fan of the GTA franchise.",95,17-Mar-09
Grand Theft Auto: San Andreas,95,Console Gameworld,"One of the game's biggest achievements, however, is that it actually gets you to care about Carl and his friends - the other gang members who ride and fight with you on most missions. They all seem to have their own personalities and come across as being fully-realized characters.",90,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,Multiplayer.it,"Chinatown Wars on PSP doesn't push the hardware like it did on the DS, and the presence of two GTA's episodes with the ""real"" 3d graphics will probably left some users slightly disappointed. But overall, this is the best version of the game; a great game, by the way.",90,20-Oct-09
Grand Theft Auto: Vice City,95,All Game Guide,"Follow-ups that come this quickly are not supposed to be this rewarding, which makes Vice City a remarkable achievement at a time when companies are all too willing to release so-called sequels with only a few tweaks and cosmetic changes.",100,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,Meristation,"GTA: Chinatown Wars includes everything you know and love about the Grand Theft Auto series. This game demonstrates a mastery of DS form and function, and introduces some interesting elements and ways to explore through the touch screen. Awesome graphics, old-school mechanics… Chinatown Wars is one of the best DS games ever made.",95,17-Mar-09
Grand Theft Auto: San Andreas,93,Electronic Gaming Monthly,"But the move to Xbox feels like more of a formality-you don't really notice the slightly nicer environments, and if ever a game didn't need custom soundtracks, this is the one.",92,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,Games Radar,"Despite some flaws and an overall feeling of deja vu that might alarm series veterans, Liberty City Stories is still an utterly irresistible and hugely enjoyable addition to the GTA family and an instant PSP treasure.",85,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,Giant Bomb,"The technical aspects of Chinatown Wars were impressive on the DS, and the PSP version looks quite a bit sharper and cleaner than the original release.",100,20-Oct-09
Grand Theft Auto: Chinatown Wars,93,IGN,"Grand Theft Auto: Chinatown Wars continues GTA's legacy as the premiere ""sandbox"" game design. Though it might look like a lot has changed in the move to the handheld platform, more has been added than taken away.",95,17-Mar-09
Grand Theft Auto: Vice City,95,PSX Extreme,"It's one of the best games of the year, no doubt, and anybody who denies the game that much is a tree-smoking psychopath.",98,27-Oct-02
Grand Theft Auto: San Andreas,95,Gamer's Hell,"It is, in my opinion, the best single player experience available right now.",95,26-Oct-04
Grand Theft Auto: San Andreas,95,Official U.S. Playstation Magazine,"San Andreas is shocking, not necessarily because of its typically contentious subject matter (though there's plenty in it to rub those of a conservative disposition the wrong way) but because of the sheer scale of the experience...Is it really the best game ever made? Quite possibly, yes.",100,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,Gaming Age,A great GTA game that culls as much from the older titles as it does from the new ones.,91,17-Mar-09
Grand Theft Auto: Chinatown Wars,93,PGNx Media,Grand Theft Auto: Chinatown Wars is an incredibly impressive game and probably the most technically impressive game on the Nintendo DS.,100,17-Mar-09
Grand Theft Auto: Vice City,94,All Game Guide,"More interiors in Vice City would be welcome, but the city is huge with plenty of unique terrain. It's a little disappointing that jetliners and more planes aren't available, but the thrill of flying the Hunter and going on multiple Vigilante missions makes up for it.",100,12-May-03
Grand Theft Auto: Chinatown Wars,90,BigPond GameArena,"People with both a DS and a PSP will probably want to get the game on the DS - it's the better version of the game. If you're a PSP loyalist though, Chinatown Wars definitely rates as a must have on your handheld of choice.",90,20-Oct-09
Grand Theft Auto: Vice City,95,GamingWorld X,"Everything that was good about ""GTA III"" has been multiplied exponentially and injected right into the throbbing veins of Grand Theft Auto: Vice City, but many of the problems have been carried over as well.",96,27-Oct-02
Grand Theft Auto: Chinatown Wars,90,null,"Compared to GTAIV’s paint-by-numbers mission design, the average job in Chinatown Wars is more of a left-field, mayhem-filled shenanigan. This even extends to the wanted system; Huang doesn’t skulk away and hide from the heat like Nico – he prefers to utterly destroy pursuing cop cars in a crazy Blues Brothers-esque escape. [Christmas 2009, p.78]",90,20-Oct-09
Grand Theft Auto: San Andreas,95,GamingTrend,"A thrilling, albeit frustrating, gaming experience that will have you yelling for joy one minute then screaming in anger the next.",85,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,Nintendo Life,"Chinatown Wars truly is one the best titles to ever grace the Nintendo DS. Despite the fact that it took on an old-style graphical approach and introduced alien concepts, the transition of the series to Nintendo’s handheld has been a smooth one – the end result being a fantastic adult game that is not worth missing.",90,17-Mar-09
Grand Theft Auto: San Andreas,95,GameSpy,"There really is no other game like it, despite there being many imitators, and this is precisely the kind of experience that reminds why, exactly, we play games: to be liberated from the constraints of reality, and explore living, breathing worlds. Few games have come this close to realizing that promise.",100,26-Oct-04
Grand Theft Auto: Vice City Stories,75,TotalPlayStation,"A crap port of a great game is still a crap port. The good game part helps, yes, but when everything about the way the game plays on the PS2 feels like a rush job, it doesn't really instill a feeling of satisfaction -- if if the game is only $20.",70,05-Mar-07
Grand Theft Auto: Chinatown Wars,90,Gamer.nl,Rockstar has made only one mistake: keeping the minigames of the DS version. Without the stylus-support they aren’t nearly as fun. But the game is still a classic after half a year of waiting and the graphics and sound have improved a lot. A lovely distraction to the GTA-games on consoles.,90,20-Oct-09
Grand Theft Auto: Chinatown Wars,90,GameZone,"An utterly brilliant and addictive gem. With amazing missions, a great story and plenty to do in the city, this game is just non-stop fun from start to finish. Forget the DS; this game truly shines on the PSP.",95,20-Oct-09
Grand Theft Auto: Chinatown Wars,93,Gamer 2.0,"Returning to its violent roots serves the game very well, and fans of the original top-down style of the first two games in the series are in for a nostalgiac treat. And when all the aspects come together, it’s a terrific package you shouldn’t be without.",93,17-Mar-09
Grand Theft Auto: Chinatown Wars,93,Nintendojo,"The few flaws aside, the GTA franchise thrives on the system, with missions becoming more focused and a second screen allowing for easy PDA, or menu access.",95,17-Mar-09
Grand Theft Auto: San Andreas,93,3DAvenue,"Rockstar have captured the lifestyle of the streets perfectly, adding a few colourful characters along the way, humour, plenty of cars and things to do, making this a must have title.",90,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,Eurogamer,"Not a truly outstanding new Grand Theft Auto game then, but an excellent PSP game.",90,24-Oct-05
Grand Theft Auto: Liberty City Stories,88,Boomtown,"It’s a full GTA on an UMD, capiche? Besides the controls and a few way too difficulty missions LCS provides you with more fun and durability than three standard PSP games put together.",90,24-Oct-05
Grand Theft Auto: San Andreas,95,GameSpot,"With its strong story, well-written dialogue, terrific voice cast, impressive graphics, great in-game sound, and extremely entertaining and varied gameplay, Grand Theft Auto: San Andreas is a stupendous thrill ride that shouldn't be missed.",96,26-Oct-04
Grand Theft Auto: Liberty City Stories,88,null,My favorite aspect of the GTA franchise has always been the ability to experience and explore an entirely new world and that is one thing LCS is sorely lacking.,85,24-Oct-05
Grand Theft Auto: Vice City,95,FHM,One immaculate game. Granted the graphics can be blurry and the missions too frustrating at times - but this is still what consoles were invented for.,100,27-Oct-02
Grand Theft Auto: Vice City Stories,75,PALGN,"Although it may not be without its problems, Grand Theft Auto: Vice City Stories is still an incredibly fun and highly recommended experience.",75,05-Mar-07
Grand Theft Auto: San Andreas,93,Armchair Empire,"PC diehards will be less tolerant of its keyboard/mouse control scheme, poor save system and lack of “Restart Mission” option, even if the game does have a lot of positives.",78,07-Jun-05
Grand Theft Auto: Chinatown Wars,90,PSFocus,"A fine PSP game on the PSP. The minigames were better on the Nintendo DS, but the PSP version is graphically better than the Nintendo DS version. Buy this part if you don’t own a Nintendo DS. Do you have a Nintendo DS? Buy the Nintendo DS version.",87,20-Oct-09
Grand Theft Auto: San Andreas,95,null,"Your legacy will be as twisted, as exciting or as brutal as your imagination will allow... San Andreas is an experience as unique as you are. Sometimes, it’s okay to believe the hype. [Christmas 2004, p.98]",90,26-Oct-04
Grand Theft Auto: Vice City,95,GameSpot AU,"It's bigger, badder, and better in almost every imaginable way. The game tells a compelling story and adds enough gameplay content to the formula to engage players who've already played the previous game to death.",95,27-Oct-02
Grand Theft Auto: San Andreas,95,Maxim Online,"So good that it even drew Axl Rose out of hiding (he’s the DJ on the classic rock station, one of 11 listening formats), San Andreas cranks out even more action than ""Vice City"" as you engage in those wacky gang-related adventures you've grown to love in disconcertingly authentic versions of Los Angeles, San Francisco, and Las Vegas.",100,26-Oct-04
Grand Theft Auto: San Andreas,93,null,Xbox owners will always be left with the bitter feeling that this game should have been so much more on their console.,86,07-Jun-05
Grand Theft Auto: Chinatown Wars,90,AtomicGamer,"The huge variety of missions, solid story, and great visuals and details make up what I think is the best portable Grand Theft Auto yet.",91,20-Oct-09
Grand Theft Auto: Vice City,95,null,"And it must be said that this game is funny as hell (at tip of the hat to whoever wrote the pee-inducing ""Explorer"" radio ad.) [Holiday 2002, p.28]",90,27-Oct-02
Grand Theft Auto: Vice City Stories,86,DailyGame,"A fun, action-packed extension of Rockstar's lauded series that deserves play. Even though it possesses graphical shortcomings and tried-and-true gameplay, it's still enjoyable and worth picking up.",80,31-Oct-06
Grand Theft Auto: Chinatown Wars,93,NZGamer,"It feels strange playing such an adult and violent game on the Nintendo DS, but at the same time, Grand Theft Auto feels right at home here. If future titles are announced for the DS then Chinatown Wars is proof enough that skepticism of Rockstar's ability to deliver on the platform is completely unjustified.",93,17-Mar-09
Grand Theft Auto: San Andreas,95,Boomtown,"San Andreas' greatest success is that it gives us more space for our imaginations than most other games do, and ties together the edges neatly with a well-crafted story and missions, adding up to a whole that few games can compare to.",90,26-Oct-04
Grand Theft Auto: San Andreas,93,Gaming Target,"Why is Grand Theft Auto: San Andreas such a great game? To put it simply, the game is huge. It has such a variety of things going on that almost everybody can find a part of it that they enjoy.",92,07-Jun-05
Grand Theft Auto: San Andreas,93,Jolt Online Gaming UK,"It's not perfect – there's still the odd gripe here and there, and wheeling the same game engine out for the next instalment would be unforgivable – but SA is easily the most polished instalment of the series to date.",93,07-Jun-05
Grand Theft Auto: Chinatown Wars,90,GameShark,"Whether you prefer two smaller screens or one bigger one, analog stick or d-pad, DS or PSP, you can't go wrong with Chinatown Wars.",100,20-Oct-09
Grand Theft Auto: San Andreas,95,GMR Magazine,"There is also a distinct lack of overall polish, mostly noticeable in the smallest ways: ugly character models, cluttered maps (the custom waypoint is a welcomed and downright necessary addition), unnecessarily complex wardrobe management, odd misspellings (""Cobra Marital Arts""), and even repeated references to Los Angeles instead of Los Santos.",90,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,VideoGamer,"Put simply, if you like GTA, you'll like this. It's the core GTA experience condensed, re-purposed, but astonishingly well preserved.",90,17-Mar-09
Grand Theft Auto: Vice City Stories,86,IGN,"Essentially more of the same, for better or for worse. It's a nice leap over what we saw in last year's release of Liberty City Stories, but it still feels ""safe"" by many standards.",90,31-Oct-06
Grand Theft Auto: Liberty City Stories,88,Into Liquid Sky,"The story may not be too in depth and the characters don't endear themselves as previous titles do, but for those that bought a PSP, Liberty City Stories pays off big.",91,24-Oct-05
Grand Theft Auto: Liberty City Stories,88,NTSC-uk,"As ever with GTA, the flaws and problems can be overlooked for the sheer amount of things which do work, though what Liberty City Stories shows more than any other recent title in the series, is that this can’t go on forever.",80,24-Oct-05
Grand Theft Auto: Vice City Stories,86,null,"Then along comes Vice City Stories, a game that exceeds all our expectations. [Dec. 2006, p.68]",95,31-Oct-06
Grand Theft Auto: Vice City Stories,86,AtomicGamer,"Either way, if you enjoyed most GTA games but felt like Liberty City Stories was just missing a few too many features, then you'll really get into GTA Vice City Stories.",88,31-Oct-06
Grand Theft Auto: San Andreas,93,null,"San Andreas for the PC has the most to offer. But considering the steep system specs and the key binding headaches, casual players may find that it's more trouble than it's worth. [Sept 2005, p.52]",90,07-Jun-05
Grand Theft Auto: Vice City Stories,75,Gaming Age,"But it's also got all the quirky baggage of the other GTA games – control issues, mediocre graphics and, this time, a story that falls short of the bar set by others in the series. It also doesn't include the multiplayer modes found on the PSP version, but there are helicopters. Life as a drug dealer is full of tradeoffs.",58,05-Mar-07
Grand Theft Auto: Vice City,95,TotalPlayStation,The sound design is frickin' phenomenal... [and] this is easily the best soundtrack I've heard in a game.,97,27-Oct-02
Grand Theft Auto: San Andreas,95,GamerArchive,"Take a large measure of ""GTA III""; add a sprinkle of ""Vice City"", freshly sliced sprigs of nineties gang culture; stir in dashes of ""Manhunt"", ""Fable"", and ""Dance-Dance Revolution"" to taste, then mix in a nitro-powered-blender from hell. Result? Ten out of ten.",100,26-Oct-04
Grand Theft Auto: San Andreas,93,eToychest,The greater sense of immersion provided by the crisper graphics and big improvements to pedestrian combat make this a vastly superior version of the game.,96,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,Gamer's Hell,"An astounding addition to the Grand Theft Auto catalogue, and it barely suffers from the supposed constriction to a handheld device.",88,24-Oct-05
