,id,name,developer,release_date,metascore,review_platform,other_platforms,genres,summary,online_player_num,rating
55,55,Quake Remastered                                                        PC                                                    ,"idSoftware,MachineGames","Aug 19, 2021",82,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Action,Shooter,First-Person,Arcade",The remastered version of Quake is here.,Upto8Players,
56,56,Circuit Superstars                                                        PC                                                    ,OriginalFireGames,"Oct 12, 2021",82,PC,"PlayStation4,XboxOne","Racing,Arcade,Automobile","FEEL the rubber bite into the road as you pass the start/finish line and dive, brakes squealing, into the first corner! Circuit Superstars is a top-down racer built by racing fans, for racing fans.
",,E
57,57,Monster Hunter Stories 2: Wings of Ruin                                                        PC                                                    ,Capcom,"Jul  9, 2021",82,PC,Switch,"Role-Playing,Japanese-Style","Monster Hunter Stories 2: Wings of Ruin offers both RPG and Monster Hunter fans a unique new experience with a rich storyline featuring charming characters, challenging quests and friendly encounters with familiar monsters from the Monster Hunter series. Assuming the role of a young Monster Rider who can use a Kinship Stone to form strong bonds with monsters, players can gain experience and improve their skills to form deeper connections with these wonderful creatures. When ready, players can embark on memorable adventures filled with dramatic events and heartwarming friendships as the epic tale unfolds.",OnlineMultiplayer,E10+
58,58,Loop Hero                                                        PC                                                    ,FourQuarters,"Mar  4, 2021",82,PC,Switch,"Role-Playing,General"," The Lich has thrown the world into a timeless loop and plunged its inhabitants into never ending chaos. Wield an expanding deck of mystical cards to place enemies, buildings, and terrain along each unique expedition loop for the brave hero. ",NoOnlineMultiplayer,
59,59,Cyber Shadow                                                        PC                                                    ,"Aarne""MekaSkull""Hunziker","Jan 26, 2021",82,PC,"PlayStation4,PlayStation5,Switch,XboxOne","Action,Platformer,2D"," The world has been taken over by synthetic lifeforms. A desperate plea for help sets Shadow, the sole survivor of his clan, on one last mission to uncover what started the path to perpetual ruin. ",NoOnlineMultiplayer,E10+
60,60,Doki Doki Literature Club Plus!                                                        PC                                                    ,TeamSalvato,"Jun 30, 2021",81,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Adventure,VisualNovel","Welcome to the club! Write poems for your crush and experience the terror of school romance in this critically-acclaimed psychological horror story.

Enter the #1 Psychological Horror Experience!

Welcome to a terrifying world of poetry and romance! Write poems for your crush and erase any mistakes along the way to ensure your perfect ending. Now’s your chance to discover why DDLC is one of the most beloved psychological horror games of the decade!

You play as the main character, who reluctantly joins the Literature Club in search of a romantic interest. With every poem you write and every choice you make, you’ll charm your crush and begin to unfold the horrors of school romance. Do you have what it takes to crack the code of dating sims and get the perfect ending?

Now, the original mind-shattering DDLC experience is packed with tons of new features and content exclusive to Doki Doki Literature Club Plus!",NoOnlineMultiplayer,M
61,61,Star Wars Pinball VR                                                        PC                                                    ,ZenStudios,"Apr 29, 2021",81,PC,PlayStation4,"Action,Pinball","For the first time ever, Star Wars Pinball surrounds us in virtual reality! Star Wars Pinball VR collects 8 AMAZING TABLES:

The Mandalorian 
Star Wars Episode IV: A New Hope 
Star Wars Episode V: The Empire Strikes Back 
Star Wars Episode VI: Return of the Jedi 
Rogue One: A Star Wars Story
Star Wars Rebels
Masters of the Force
Classic Collectibles
 
The fully customizable FAN CAVE houses your ""virtual"" pinball table and items you earn. 

TOTAL IMMERSION MODE allows you to experience everything at table level. 

360-DEGREE MINIGAMES surround you with iconic Star Wars set pieces.",NoOnlineMultiplayer,
62,62,GRIME                                                        PC                                                    ,"FunnelEntertainment,CloverBite","Aug  2, 2021",81,PC,Stadia,"Action,General,Role-Playing,ActionRPG"," Destroy... Absorb... Grow... GRIME is a fast and unforgiving Action-Adventure RPG in which you crush your foes with living weapons that mutate form and function, and then consume their remains with a black hole to strengthen your vessel as you break apart a world of anatomical horror and intrigue. ",NoOnlineMultiplayer,
63,63,Life is Strange: True Colors                                                        PC                                                    ,DeckNineGames,"Sep 10, 2021",81,PC,"PlayStation4,PlayStation5,Stadia,Switch,XboxOne,XboxSeriesX","ActionAdventure,General","A bold new era of the award-winning Life is Strange begins, with an all-new playable lead character and a thrilling mystery to solve!

Alex Chen has long suppressed her 'curse': the supernatural ability to experience, absorb and manipulate the strong emotions of others, which she sees as blazing, colored auras.

When her brother dies in a so-called accident, Alex must embrace her volatile power to find the truth and uncover the dark secrets buried by a small town.",,M
64,64,The Sims 4: Cottage Living                                                        PC                                                    ,Maxis,"Jul 22, 2021",81,PC,"PlayStation4,XboxOne","Simulation,Virtual,VirtualLife","Delight in the quaint charm of The Sims 4 Cottage Living Expansion Pack with animal friends, garden-to-table meals, and a close-knit community. Explore the forest to befriend woodland creatures, or head to town to meet the locals. Whether Sims are hugging a cow, making friends (or enemies) with their chickens, or growing the biggest vegetables around, the countryside presents abundant new ways to reconnect with the world.",,T
65,65,Boomerang X                                                        PC                                                    ,DANG!,"Jul  8, 2021",81,PC,Switch,"General,Action,Shooter,First-Person,Arcade","Harness the power of a mystical boomerang to fling yourself through the air. Slice, fly, and blast through arenas swarming with evil creatures. Stay agile or meet your doom. 

Fight otherworldly forces and look cool doing it. Impress the boomerang with stylish tricks and it'll grant you stranger powers - powers that'll let you defeat the forces of the depths with greater ease. Kaspidae smiles upon you and your killer moves...",NoOnlineMultiplayer,
66,66,Overboard!                                                        PC                                                    ,inkle,"Jun  2, 2021",81,PC,"iPhone/iPad,Switch","Adventure,General","GET AWAY WITH MURDER. Highly replayable detective game where you're the one whodunnit. From the creators of 80 Days and Heaven's Vault.
",NoOnlineMultiplayer,
67,67,Silicon Dreams                                                        PC                                                    ,ClockworkBird,"Apr 20, 2021",81,PC,,"Action,General,Adventure,3D,First-Person","It’s 2065, and you are an interrogator-model android tasked with rooting out deviants among your own kind. You must probe for lies, monitor and exploit emotional spikes, earn the trust of your subjects, and make the final call: release, or destroy?
",NoOnlineMultiplayer,
68,68,Age of Empires IV                                                        PC                                                    ,Relic,"Oct 28, 2021",81,PC,,"Strategy,Real-Time,Command","The real-time strategy series returns to glory with Age of Empires IV, putting you at the center of epic historical battles that shaped the world. Featuring both familiar and innovative new ways to expand your empire in vast landscapes with stunning 4K visual fidelity, Age of Empires IV brings an evolved real-time strategy game to a new generation.

Return to History – The past is prologue as you are immersed in a rich historical setting of 8 diverse civilizations across the world from the English to the Chinese to the Delhi Sultanate in your quest for victory. Build cities, manage resources, and lead your troops to battle on land and at sea in 4 distinct campaigns with 35 missions that span across 500 years of history from the Dark Ages up to the Renaissance.

Choose Your Path to Greatness with Historical Figures – Live the adventures of Joan of Arc in her quest to defeat the English, or command mighty Mongol troops as Genghis Khan in his conquest across Asia. The choice is yours – and every decision you make will determine the outcome of history.

Customize Your Game with Mods – Available in Early 2022, play how you want with user generated content tools for custom games.

Challenge the World – Jump online to compete, cooperate or spectate with up to 7 of your friends in PVP and PVE multiplayer modes.

An Age for All Players – Age of Empires IV is an inviting experience for new players with a tutorial system that teaches the essence of real-time strategy and a Campaign Story Mode designed for first time players to help achieve easy setup and success, yet is challenging enough for veteran players with new game mechanics, evolved strategies, and combat techniques.",,T
69,69,Tails of Iron                                                        PC                                                    ,OddBugStudio,"Sep 17, 2021",81,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Role-Playing,ActionRPG","Set in a grim land plagued by war, Tails of Iron is a hand-drawn RPG Adventure with punishingly brutal combat. As Redgi, heir to the Rat Throne, you must restore your broken Kingdom by banishing the merciless Frog Clan and their ferocious leader, Greenwart. As you explore the deceivingly charming world, you'll encounter a cast of unique companions, ready to aid you in your adventure. And you'll need all the help you can get, whether that's new meal recipes, blueprints to forge deadly weapons and armour, or even a land-chugging, armour-plated mole mobile! Overcome your fears. Rescue your brothers. Restore Your Kingdom. Your tail has begun. Master Brutal Combat: From frog zombies to gargantuan grubs - and everything in-between - the Kingdom is awash with danger. To overcome each perilous encounter, you'll need to study your opponent's attacks and react accordingly! Thankfully, there's a range of deadly abilities at your disposal, including parry bashes and fatal executions, not to mention ranged attacks with your nifty bow and arrow. Explore a Treacherous Kingdom: Fully accompanied by the deep, raspy narrations of Doug Cockle (voice of Geralt of Rivia from The Witcher), prepare to embark on an epic adventure across the mediaeval-fantasy Rat Kingdom. Complete side quests and faction hunts for some additional gold-on-the-side, or join forces with a sharp-eyed companion to help even the playing field. Customise your Attack: Adapt Redgi's combat style to the task at hand. Heavy armour may provide better protection but can you really afford to slow down your dodge-roll? And then there's the question of weapon; axes pack a punch, while spears are quick and nimble. Perhaps you'd prefer the all-round performance of a trusty broadsword? ",NoOnlineMultiplayer,T
70,70,Exo One                                                        PC                                                    ,Exbleative,"Nov 18, 2021",81,PC,"XboxOne,XboxSeriesX","Simulation,Adventure,General,Space,Civilian","A strange signal… an alien craft… Exo One is an interplanetary, gravity-defying journey through space and time. Master a truly alien traversal system and move through enigmatic and desolate landscapes in ways you’ve never experienced. Use gravity and momentum to reach colossal speeds and exhilarating heights.",NoOnlineMultiplayer,
71,71,Death's Gambit: Afterlife                                                        PC                                                    ,WhiteRabbitInteractive,"Sep 30, 2021",81,PC,"PlayStation4,Switch","Role-Playing,ActionRPG","A contract binds you to Death who seeks to eradicate immortality. Will you do his bidding and restore the natural order, or succumb to its power in this hardcore 2D action RPG?

The promise of immortality lies at the heart of Siradon. As Death's right hand, challenge the undying guardians of the realm and endure the eternal struggle to purge their souls.

Death's Gambit: Afterlife is the new and expanded edition of the original hardcore 2D RPG action platformer. Master the precise combat, utilizing a wide variety of weapons and abilities to confront the horrors that lurk within Siradon. Explore a mysterious and unforgiving world and uncover the true price of immortality.

Afterlife offers players a wealth of new content to experience on top of the original game, including 10 new levels, over 30 weapons, 5 new bosses, mechanical overhauls, and more. Your choices will affect the epic finale to Sorun’s tale.",NoOnlineMultiplayer,
72,72,Old World                                                        PC                                                    ,MohawkGames,"Jul  1, 2021",80,PC,,"Strategy,Turn-Based,4X","Conquer the Old World in this historical, epic strategy game from Soren Johnson, Lead Designer of Civilization IV and Offworld Trading Company. Every year is a turn, and each leader is a mere mortal, so your lasting legacy will be the dynasty you leave behind.",Upto10Players,
73,73,Dark Deity                                                        PC                                                    ,Sword&AxeLLC,"Jun 15, 2021",80,PC,,"Role-Playing,General,Japanese-Style","Command legendary heroes to reshape a land fractured by broken oaths, reckless wars, and secret arcane powers. The technological and cultural achievements of a once-great civilization now lie locked inside the ruins of ancient temples throughout the world of Terrazael. Long after society's mighty history is snuffed out by a powerful and mysterious ""Calamity"", the people of Etlan teeter on the brink of total war.

In a desperate attempt to bolster his recruit ranks, King Varic of the Kingdom of Delia expedites the graduation of all students at the Brookstead Military Academy, severing a pact that has stood for a thousand years. With the course of their future undemocratically derailed, these four ""graduates"" of the Brookstead Academy set out to leave their mark on this world.

This is their story.",NoOnlineMultiplayer,
74,74,Skul: The Hero Slayer                                                        PC                                                    ,SouthPAWGames,"Jan 21, 2021",80,PC,"PlayStation4,Switch,XboxOne","Action,Platformer,2D","The human race attacking the Demon King's castle is nothing new and has happened countless times before. What makes this time different though, is that the Adventurers decided to join forces with the Imperial Army and the 'Hero of Caerleon' to finally succeed in the total destruction of the Demon stronghold. All of the demons in the castle were taken prisoner except for one lone skeleton named 'Skul'.

Skul is no ordinary skeleton. In addition to his formidable fighting skills, he can gain new and exciting abilities depending on which skull he's wearing.Use up to 2 skulls at a time, each of which has its own unique attack range, speed and power. So choose ones that match your playing style and switch them in the heat of battle to bring your enemies to their knees. The power is in your hands!

Skul has crossed paths with a party of Adventurers! They are powerful foes that hunt Demons for sport. But while Skul may be small, he still packs quite a punch. So just see who really is the hunter and who is the hunted...",NoOnlineMultiplayer,
75,75,Ruined King: A League of Legends Story                                                        PC                                                    ,AirshipSyndicateEntertainment,"Nov 16, 2021",80,PC,"PlayStation4,Switch,XboxOne","Role-Playing,General","Rise Against Ruin. Unite a party of League of Legends Champions, explore Bilgewater and set sail for the Shadow Isles to uncover the secrets of the deadly Black Mist. Developed by Airship Syndicate and featuring the art style of legendary comic book artist Joe Madureira, creators of Battle Chasers and Darksiders, Ruined King: A League of Legends Story is the first Riot Forge game that invites you to explore the League of Legends universe. In this immersive turn-based RPG, you will have the freedom to configure your party and control an unlikely group of League of Legends champions, explore the bustling city of Bilgewater and the mysterious Shadow Isles, and experience the Lane Initiative System. ",NoOnlineMultiplayer,T
76,76,Halo Infinite                                                        PC                                                    ,343Industries,"Dec  8, 2021",80,PC,"XboxOne,XboxSeriesX","Action,Shooter,First-Person,Arcade","When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced. Begin anew and step inside the armor of humanity’s greatest hero to experience an epic adventure and finally explore the scale of the Halo ring itself.",,T
77,77,Impostor Factory                                                        PC                                                    ,FreebirdGames,"Sep 30, 2021",80,PC,,"Adventure,General","A bonkers time-loop tragicomedy murder mystery thriller featuring multiple casualties and a suspicious cat, from the creator of To the Moon & Finding Paradise.
",,
78,78,The Legend of Tianding                                                        PC                                                    ,NeonDoctrine,"Nov  1, 2021",80,PC,Switch,"Platformer,Action,Beat-'Em-Up,2D","The Legend of Tianding is a sidescrolling action game about Liao Tianding, the legendary Taiwanese Folk Hero. Explore the dazzling streets of Colonial Japanese Taiwan in the early 20th century.
",NoOnlineMultiplayer,
79,79,Dandy Ace                                                        PC                                                    ,MadMimic,"Mar 25, 2021",80,PC,"PlayStation4,Switch,XboxOne","ActionAdventure,Linear","Dandy Ace is an over the top fast-paced roguelike experience that follows a fabulous magician seeking to combine and use his magical cards while fighting and looting his way to defeat the Green-Eyed Illusionist, Lele, who has imprisoned him in a cursed mirror. While battling your way through Lele’s ever changing palace, combine different cards with more than a thousand possibilities, each with their own playstyles and powers. Every run provides new challenges and combinations for players to explore as they progress closer to Lele. ",NoOnlineMultiplayer,
80,80,Diablo II: Resurrected                                                        PC                                                    ,BlizzardEntertainment,"Sep 23, 2021",80,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Role-Playing,ActionRPG","Diablo® II: Resurrected™ is a remastered version of the quintessential action RPG Diablo® II. Pursue the mysterious Dark Wanderer and fight the denizens of hell as you uncover the fate of the Prime Evils Diablo, Mephisto, and Baal. Features: Remastered graphics—monsters, heroes, items, spells, all resurrected. An epic story told through five distinct acts. Classic gameplay—the same Diablo II you know and love, preserved. Updated Battle.net support. Planned support for cross-progression—take your progress wherever you play. Diablo II: Resurrected includes all content from both Diablo II and its epic expansion Diablo II: Lord of Destruction®. Battle your way through icy caverns, horrific tombs filled with undead abominations, and frozen wastelands to the frigid summit of Mount Arreat and stop Baal, the Lord of Destruction. Raise hell with two Lord of Destruction playable classes—the cunning Assassin, master of traps and shadow disciplines, and the savage Druid, a bold shapeshifter and summoner who commands primal elemental magic.",Upto8Players,M
81,81,The Artful Escape                                                        PC                                                    ,Beethoven&Dinosaur,"Sep  9, 2021",80,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","ActionAdventure,Action,Adventure,General,Platformer,2D","The Artful Escape of Francis Vendetti is a video game about great expectations, famous folk singers, lingering shadows, space Gods, hallucinogens, individuality, reptile shops, and wild imaginations. It's an action, adventure, exploration, narrative driven, musical-laser-light-battle kind of game.",NoOnlineMultiplayer,E10+
82,82,Final Fantasy Pixel Remaster                                                        PC                                                    ,SquareEnix,"Jul 28, 2021",80,PC,iPhone/iPad,"Role-Playing,Japanese-Style","This is the ironically named game that started it all. You take control of the Warriors of Light, off on a journey to defeat four fiends and restore peace to the world.

So many of the elements of the series that we've come to know and love make their debut right here in this very first entry: a massive world full of mystery, some iconic monster designs and that incredible music.",NoOnlineMultiplayer,E
83,83,Dreamscaper                                                        PC                                                    ,AfterburnerStudios,"Aug  5, 2021",80,PC,"Switch,XboxOne,XboxSeriesX","Role-Playing,ActionRPG","A surreal, roguelite inspired ARPG with modernized hack'n'slash combat about lucid dreaming. Warp the dreamscape around you to battle a nightmarish depression that lives in a young woman’s subconscious. DREAM. DIE. WAKE. REPEAT.
",NoOnlineMultiplayer,
84,84,Knockout City                                                        PC                                                    ,VelanStudios,"May 21, 2021",80,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Action,General,Sports,Team,Other","Rule the city through lightning-fast multiplayer matches featuring mind-blowing dodgeball mechanics. Increase your attack by passing to power up dodgeballs, targeting your opponents with a variety of specialized balls, or “balling up” at any time to get thrown by teammates. Assemble an All-Star dodgeball Crew with your friends for multiplayer matches in a seamless cross-play experience! Together, knock out opponents in 3v3, 4v4, or free-for-all matches. Pass, throw, and strategize to dominate as a team and unlock distinctive, Crew-only rewards. [Electronic Arts]",Upto8Players,E10+
85,85,NieR Replicant ver.1.22474487139...                                                        PC                                                    ,ToylogicInc.,"Apr 23, 2021",80,PC,"PlayStation4,XboxOne","Role-Playing,ActionRPG","Get ready to experience where the NieR series all began - NieR Replicant ver.1.22474487139...Set in a post-apocalyptic world, NieR Replicant ver.1.22474487139 is puts you in the role of the titular Nier, a young man on a quest to cure his sister Yonah of a deadly disease. What they discover will make them question everything they thought they knew The original NieR release has an interesting history. In Japan, there were two versions of the game: NieR Replicant and NieR Gestalt. NieR Replicant focused on Brother Nier and his sister Yonah. In NieR Gestalt, the main character was Father Nier, and Yonah his daughter. Only NieR Gestalt released in the West (under the name NIER) - so excitingly, this will be the first time many people will have played the Replicant version of the game.",NoOnlineMultiplayer,M
86,86,Essays on Empathy                                                        PC                                                    ,Deconstructeam,"May 18, 2021",80,PC,,"Action,General,Miscellaneous,Compilation","A curated compilation of Deconstructeam's best efforts in seeking new narrative experiences in games. Explore 10 unique, offbeat tales including ""De Tres al Cuarto,"" a brand new short experience exclusive to the compilation about a couple of two-bit comedians trying to make it big.
",NoOnlineMultiplayer,
87,87,The Life and Suffering of Sir Brante                                                        PC                                                    ,Sever,"Mar  4, 2021",80,PC,,"Adventure,Text","A narrative-driven RPG set in a gritty world where a person's Lot is determined at birth, while the gods are real and preside over the fates of men. Set out on a lifelong journey and carve out your own destiny. Will you become a judge, an inquisitor, or conspire against the old order? You decide!
",NoOnlineMultiplayer,
88,88,Scarlet Nexus                                                        PC                                                    ,BandaiNamcoGames,"Jun 25, 2021",79,PC,"PlayStation4,PlayStation5,XboxOne,XboxSeriesX","ActionAdventure,Open-World,Role-Playing,ActionRPG","Unleash the Power of the Mind - In a far distant future, a psionic hormone was discovered in the human brain, granting people extra-sensory powersand changing the world as we know it. Just as humanity was entering this new era, deranged mutants known as Others began to descend from the sky with a thirst for human brains. Highly resistant to conventional attack methods, extreme measures needed to be taken to battle the overwhelming threat and preserve humanity. Those with acute extra-sensory abilities, known as psionics, were our chance to fight the onslaught from above. To this day, psionics have been scouted for their talents and recruited to the Other Suppression Force (OSF), humanity's last line of defense.

Take on the role of Yuito Sumeragi, a new recruit to the OSF aiming to become an elite psionic like the one who saved him as a child. Armed with a talent in psycho-kinesis, explore the futuristic city of New Himuka and uncover the mysteries of a Brain Punk future caught between technology and psychic abilities in SCARLET NEXUS. 

KINETIC PSYCHIC COMBAT
Using psycho-kinetic abilities, the world around you becomes your greatest weapon. Lift, break and throw pieces of your environment to build your attack combos and lay waste to your enemies. 

EXTERMINATE THE OTHERS
Deranged mutants that descended from the sky, immune to conventional weapons and defenses. Tormented by the constant pain of their mutation, they seek brains of living organisms to calm their madness. 

DISCOVER A BRAIN PUNK FUTURE
Explore and protect a futuristic Japanese landscape that combines inspirations from classic anime and western science fiction. 

DEEP STORY DRIVEN EXPERIENCE
Dive into a complex story of bonds, courage and heroism crafted by minds behind the iconic Tales of Vesperia.",NoOnlineMultiplayer,T
89,89,LEGO Builder's Journey                                                        PC                                                    ,LightBrick,"Jun 22, 2021",79,PC,"iPhone/iPad,Switch,XboxOne,XboxSeriesX","Action,Puzzle,General","LEGO Builder’s Journey is an atmospheric, geometric puzzle game that asks us to sometimes follow the instructions… and sometimes to break the rules. Take your time to experiment with free-form puzzle solving while immersing yourself in a poetic world of LEGO® bricks. Throughout the narrative, there will be ups and downs, challenges, and celebrations. Figuring out who we are and what we become is the Builder’s Journey. The LEGO brick world is brought to life with the most accurately rendered LEGO elements yet to feature on screens, including stunning ray tracing elements. ",NoOnlineMultiplayer,
90,90,Time Loader                                                        PC                                                    ,Flazm,"Nov  3, 2021",79,PC,Switch,"Adventure,Puzzle,Action,General","Time Loader is a story-driven, physics-based puzzle platformer with a twist. At the helm of a small robot, you'll travel back to the 90s to prevent a tragic accident. Explore the house of your creator, solve brain-teasing puzzles, acquire unique and powerful upgrades, and see common household items from an entirely new perspective!

But remember: meddling with time has serious consequences. You may succeed in changing the past, but can you deal with the result of your actions?",NoOnlineMultiplayer,
91,91,Gloomhaven                                                        PC                                                    ,FlamingFowlStudios,"Oct 20, 2021",79,PC,,"Strategy,Miscellaneous,Turn-Based,Board/CardGame,Tactics","Whether you are drawn to Gloomhaven by the call of adventure or by an avid desire for gold glimmering in the dark, your fate will surely be the same. Gloomhaven, the digital adaptation of the acclaimed board game, mixes Tactical-RPG and dungeon-crawling.
",NoOnlineMultiplayer,
92,92,TOEM                                                        PC                                                    ,SomethingWeMade,"Sep 17, 2021",79,PC,"PlayStation5,Switch","Adventure,General","Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!
",NoOnlineMultiplayer,
93,93,The Eternal Cylinder                                                        PC                                                    ,ACETeam,"Sep 30, 2021",79,PC,"PlayStation4,XboxOne","ActionAdventure,Open-World","In The Eternal Cylinder, players control a herd of adorable creatures called Trebhums and must explore a strange alien world filled with exotic lifeforms, surreal environments, and the constant threat of the Cylinder, a gargantuan rolling structure of ancient origin which crushes everything in its path. This unique ecosystem is a massive, procedurally generated land with unique animal AI, real-time world destruction, and organic exploration and puzzle design to create emergent gameplay that ensures no two playthroughs are ever the same.
Your Trebhums begin at the bottom of the natural food chain but can mutate and evolve with new physical attributes and abilities by eating a variety of flora and fauna. Discover and adapt dozens of mutations, including new traversal skills like flying and swimming to reach new areas, and new senses to help overcome puzzles, challenges and dangers. Your many Trebhums can each have different mutations, and new mutations don't replace ones you already have, letting you stack ability sets in dynamic ways. Each mutation will also change the physical look of a Trebhum and stacking these will generate near countless surprising new creature designs which players will be able to organically discover as they explore this unique alien ecosystem. 

Game Features:

* Unforgettable Alien World to explore: Players must explore a gorgeous procedurally generated world which is populated with unforgettable vistas and unique landscapes which have something new to discover around every corner. The Eternal Cylinder features an open-world which allows players to reach and explore any areas which they can see on the horizon. This encourages constant exploration and ensures that there's always something new to see. 

* Real-Time World Destruction: Everything in the world can be destroyed in real-time by The Eternal Cylinder, so players must continuously evade its destructive path in order to survive whilst marveling at the visual splendor of its godlike power.
Story Driven Open-World Survival: Unlike many open-world survival titles, The Eternal Cylinder features a deep and engrossing story for players to uncover as they continue to explore the vast world. The game explores themes of family and heritage, and the lasting power of knowledge.

* Build Your Own Alien Family: Unlike standard survival games where you have a main shelter that you can build or improve, in Eternal Cylinder players develop a nomadic herd of unique alien creatures called Trebhums. Players control one Trebhum from the herd at a time and the rest follow (Al controlled) but players can switch to any individual member of their herd at will. Explore the world to rescue more of your brethren and continuously expand your family. Control a herd which can grow to more than 20 members at any given time and imbue each of your Trebhums with their own unique mutations and skill sets. Players can create a custom name for each of their Trebhum, increasing the emotional bond between player and their Trebhum family. 

* Unique Mutation System: Although Trebhum's are generally frail and start their lives at the very bottom of the world's food chain, they have the unique ability to mutate and unlock new skills by consuming natural edibles which populate the game world. So, players must explore and experiment with a vast array of fruits, flora and alien creatures to unlock new powers and gameplay options. 

* 50+ Mutations to discover: Players can unlock more than 50+ unique mutations as they explore the world, each one of which enable new gameplay options. These include new traversal options such as the ability to fly and swim, but also new offensive moves like the ability to spit fire and create loud warning noises. New mutations allow players to explore new areas and each mutation stacks thus creating a truly expansive skill set which is constantly evolving. 

* A Trebhum for everyone: Enjoy a virtually endless visual variety of Trebhum designs, as each mutation combine with one another to create surprising new creatures. This allows your herd to continue to evolve as players explore new areas and players can share the unique look of their Trebhum family with the rest of the world online. 

* Layered Survival: Players need to manage multiple layers of resources in order to be able to survive. These include hydration level, various temperatures each with their own impact and stamina. 

* Living and Breathing Ecosystems: The world of The Eternal Cylinder is populated with more than 30 memorable handcrafted alien creatures. These creatures vary greatly in size and range from those smaller than a Trebhum, all the way to skyscraper sized leviathans who dominate the horizon. Each of these creatures feature their own dedicated Al and behave in natural ways. Players must learn their unique behaviors and discover surprising ways to utilize the natural food chain to their advantage and interact with every creature. 

* Organic Puzzle Solving and Progression: The world of the Eternal Cylinder has been designed to empower players to organically solve its mysteries and progress without the need for obvious prompts and mission logs. This allows for fully immersive exploration which rewards players of every skill level, as the greater majority of the puzzles are not required for progression but do provide unique experiences. 

* 4 Unique Biodomes lo Discover ond Explore: Players can explore 4 unique biodomes including alien savannas and infected habitats, each with their own dedicated ecosystems and unique creatures to discover. 

* Truly Emergent Gameplay: The Eternal Cylinder's lush procedurally generated world, vast number of mutations to discover and unlock, unique creature Al system, living natural ecosystem, real-time world destruction and organically placed puzzles combine to create near endless possibilities for emergent gameplay and help to ensure that no two playthroughs will ever be there same.",,T
94,94,Ocean's Heart                                                        PC                                                    ,MaxMraz,"Jan 21, 2021",79,PC,Switch,"Role-Playing,ActionRPG,ActionAdventure,Open-World","Ocean’s Heart is an epic top-down action RPG in which you explore a beautiful archipelago as a young woman named Tilia. Take on contracts to fight monsters, descend deep into ancient dungeons, defeat menacing foes, and unravel the mystery of Ocean’s Heart. All done in beautiful, bright pixel art.
",NoOnlineMultiplayer,
95,95,Hell Let Loose                                                        PC                                                    ,BlackMatter,"Jul 27, 2021",79,PC,"PlayStation5,XboxOne,XboxSeriesX","Action,Shooter,First-Person,Tactical,Arcade","Hell Let Loose is a realistic World War Two first person shooter with open battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based strategic meta-game. This is World War Two at a scale you’ve never played before.
",OnlineMultiplayer,
96,96,Shin Megami Tensei III: Nocturne HD Remaster                                                        PC                                                    ,Atlus,"May 25, 2021",79,PC,"PlayStation4,Switch","Role-Playing,Japanese-Style","Reawaken your inner demon in a modernized version of the acclaimed ATLUS classic, Shin Megami Tensei III Nocturne HD Remaster. What begins as a normal day in Tokyo turns out to be everything but, when the Conception – an ethereal apocalypse – is invoked. The remains of the world are swallowed by chaos, as a demonic revolution descends into a broken city. Caught between a battle of Gods and demons, the choices you make can bring life, rebirth, or death, and determine who triumphs. This genre-defining, infamously punishing RPG is back and now includes:
Remastered 3D models and backgrounds
Additional difficulty settings for players of all skill levels
Suspend save -- save your progress whenever you need!
Voiced audio -- choose between Japanese and English VO
",NoOnlineMultiplayer,M
97,97,The Vale: Shadow of the Crown                                                        PC                                                    ,FallingSquirrel,"Aug 19, 2021",79,PC,XboxOne,"ActionAdventure,General","CLOSE YOUR EYES. BECOME A WARRIOR: Feel your enemy’s rasping breath; a foot shifts on swampy ground; the crack of steel on wooden shield. The Vale is an audio based action adventure that sets out to breathe new life into medieval combat and fantasy narrative.
",,
98,98,Final Fantasy III Pixel Remaster                                                        PC                                                    ,SquareEnix,"Jul 28, 2021",79,PC,iPhone/iPad,"Role-Playing,Japanese-Style","When darkness falls and the land is robbed of light, four young heroes are chosen by the crystals to head off an exciting journey across a vast and hostile land.

This critically-acclaimed entry in the series innovated with a flexible job system, which lets characters change their roles in combat at any time. Many of the most famous elements of FINAL FANTASY started here too - for example, it was the first to introduce summons, including series mainstays Bahamut and Shiva!",NoOnlineMultiplayer,E10+
